db_id,imdb_id,name,next_golden_win,next_golden_nominate,pre_golden_win_num,pre_golden_nominate_num,pre_golden_total,pre_oscars_win_num,pre_oscars_nominate_num,pre_oscars_total,pre_actor_win_num,pre_actor_nominate_num,pre_actor_total,pre_bafta_win_num,pre_bafta_nominate_num,pre_bafta_total,pre_independent_win_num,pre_independent_nominate_num,pre_independent_total,pre_critic_win_num,pre_critic_nominate_num,pre_critic_total,pre_mtv_win_num,pre_mtv_nominate_num,pre_mtv_total,pre_wga_win_num,pre_wga_nominate_num,pre_wga_total,pre_dga_win_num,pre_dga_nominate_num,pre_dga_total,pre_win_total,pre_nominate_total,pre_total,first_movie_year,first_award_year,break_years,movie_imdb_id,experience,max_budget,max_gross,max_meta_score,max_imdb_rating
309182,150749,"Champnella, Eric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,0,999,NULL,14,30000000,21800302,57.0,5.5
311048,151540,"Chandrasekhar, Jay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,0,999,NULL,8,8550000,4992159,45.0,5.6
315934,1369375,"Chase, Steven",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,999,NULL,4,5000000,NULL,NULL,4.5
323027,156828,"Chey, Timothy A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,0,999,NULL,7,150000,NULL,NULL,8.5
345194,166767,"Clifton, Patrick J.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,0,999,NULL,11,50000000,37486138,38.0,6.0
348409,168379,"Cocks, Jay",0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,1970,1994,24,NULL,34,20000000,13337299,53.0,6.6
349160,1053,"Coen, Ethan",0,0,0,2,2,1,2,3,0,0,0,0,2,2,1,2,3,0,2,2,0,0,0,1,2,3,0,0,0,3,12,15,1984,1986,2,NULL,20,35000000,39799191,56.0,6.2
349171,1054,"Coen, Joel",0,0,0,2,2,1,2,3,0,0,0,0,2,2,1,2,3,0,2,2,0,0,0,1,2,3,0,0,0,3,12,15,1984,1986,2,NULL,20,35000000,39799191,56.0,6.2
350550,169505,"Cohen, Joel",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1983,1996,13,NULL,21,35000000,75367693,27.0,4.9
350634,169540,"Cohen, Larry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966,0,999,NULL,38,25000000,32003620,60.0,6.5
351750,170160,"Colan, Gene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,0,999,NULL,14,65000000,52397389,38.0,5.9
354825,171651,"Collage, Bill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,999,NULL,0,30000000,14018364,33.0,4.7
358534,1060,"Columbus, Chris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,0,999,NULL,20,60000000,73780539,22.0,5.1
360167,NULL,"Conason, Joe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980,0,999,NULL,24,NULL,376552,53.0,7.1
360654,174374,"Condon, Bill",0,0,0,1,1,1,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,6,7,1981,1999,18,NULL,23,25000000,10214647,79.0,7.1
360713,174410,"Condon, Richard",0,0,0,1,1,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,4,6,1951,1986,35,NULL,53,80000000,65948711,76.0,6.6
363290,175775,"Conran, Kerry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,999,NULL,0,40000000,37760080,64.0,6.1
366495,177348,"Cook, Xavier",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,0,999,NULL,8,NULL,69148997,41.0,5.3
367535,177836,"Cooper, Adam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,999,NULL,0,30000000,14018364,33.0,4.7
375673,1070,"Cosby, Bill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,0,999,NULL,35,26000000,48116322,39.0,4.3
397760,1259728,"Cunningham, Michael",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,0,999,NULL,2,6500000,1029872,59.0,6.8
399992,193485,"Curtis, Richard",0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,5,6,1997,1995,-2,NULL,7,40000000,40203020,44.0,5.9
413355,1248013,"Daniels, Coke",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,999,NULL,0,NULL,17321573,23.0,4.5
414451,200380,"Dannelly, Brian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,999,NULL,0,5000000,8940582,62.0,6.9
415982,1503462,"Darger, Henry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,999,NULL,0,NULL,413708,74.0,7.3
421297,203577,"Davies, Andrew",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1995,2002,7,NULL,9,40000000,40203020,44.0,5.9
423860,204731,"Davis, J.P.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,0,999,NULL,5,200000,5199,53.0,6.6
424137,204825,"Davis, Jim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,999,NULL,0,35000000,75367693,27.0,4.9
